league,match_date,home,away,score,selection,p_raw,p_calibrated,market_odds,closing_odds,edge_pct,stake,won,pnl,bankroll_after,clv_pct
E0,2024-02-11,West Ham,Arsenal,0-6,Over 2.5,0.5688680725177357,0.6471294990168824,1.67,1.89,8.070626335819364,224.67978091070592,True,150.53545321017293,9476.667462448459,-11.64021164021164
E0,2024-02-12,Crystal Palace,Chelsea,1-3,Over 2.5,0.4356735815744887,0.5851218686485499,1.86,1.86,8.832667568630281,194.66105431223795,True,167.40850670852464,9644.075969156984,0.0
E0,2024-02-18,Sheffield United,Brighton,0-5,Over 2.5,0.6690736091210523,0.6939958780460838,1.57,1.59,8.957352853235157,289.3222790747095,True,164.91369907258445,9808.989668229568,-1.2578616352201255
E0,2024-02-19,Everton,Crystal Palace,1-1,Over 2.5,0.3528902997562648,0.5146867779927685,2.1,2.38,8.084223378481404,144.1782974457889,False,-144.1782974457889,9664.811370783778,-11.764705882352933
E0,2024-02-20,Man City,Brentford,1-0,Under 2.5,0.3360693433847781,0.30886182715265464,3.4,3.17,5.01302123190257,40.37492050339381,True,96.89980920814514,9761.711179991924,7.2555205047318605
E0,2024-02-25,Wolves,Sheffield United,1-0,Over 2.5,0.5941475560327021,0.6602780937540215,1.65,1.77,8.945885469413529,268.6989236975428,False,-268.6989236975428,9493.012256294382,-6.779661016949157
E0,2024-02-26,West Ham,Brentford,4-2,Over 2.5,0.5253552011568614,0.6245416890906215,1.7,1.8,6.172087145405647,167.40485405215094,True,117.18339783650566,9610.195654130886,-5.555555555555558
E0,2024-03-02,Everton,West Ham,1-3,Over 2.5,0.42787704671460686,0.583578788910809,1.92,1.95,12.04712747087533,251.6853305768846,True,231.55050413073383,9841.74615826162,-1.538461538461544
E0,2024-03-02,Fulham,Brighton,3-0,Over 2.5,0.5876063565155903,0.6617415647824307,1.62,1.83,7.202133494753782,228.65022468800134,True,141.76313930656084,9983.50929756818,-11.475409836065575
E0,2024-03-03,Man City,Man United,3-1,Under 2.5,0.42196522123757985,0.3428336514087652,3.1,3.28,6.278431936717221,59.69598439463369,False,-59.69598439463369,9923.813313173547,-5.487804878048774
E0,2024-03-10,West Ham,Burnley,2-2,Over 2.5,0.5436834887855059,0.6507903677716087,1.7,1.87,10.634362521173468,297.7143993952064,True,208.40007957664443,10132.21339275019,-9.090909090909093
E0,2024-03-10,Brighton,Nott'm Forest,1-0,Over 2.5,0.6179328026991486,0.6840701507171958,1.62,1.6,10.819364416185717,303.9664017825057,False,-303.9664017825057,9828.246990967686,1.2499999999999956
E0,2024-03-16,Burnley,Brentford,2-1,Over 2.5,0.511726916256225,0.6227769205335307,1.75,1.77,8.985961093367889,235.50998687158813,True,176.6324901536911,10004.879481121377,-1.1299435028248594
E0,2024-03-16,Fulham,Tottenham,3-0,Over 2.5,0.6549868615848733,0.7096008992255586,1.48,1.49,5.020933085382673,209.30762667511877,True,100.46766080405703,10105.347141925435,-0.6711409395973145
E0,2024-03-30,Newcastle,West Ham,4-3,Over 2.5,0.6508320018983758,0.706914691064825,1.5,1.5,6.037203659723733,244.03215499204447,True,122.0160774960222,10227.363219421457,0.0
E0,2024-03-30,Sheffield United,Fulham,3-3,Over 2.5,0.6210502003140584,0.6892685142324672,1.65,1.75,13.729304848357081,306.8208965826437,True,199.43358277871835,10426.796802200175,-5.714285714285716
E0,2024-03-31,Man City,Arsenal,0-0,Over 2.5,0.5876074298868224,0.6694384548903651,1.7,1.82,13.804537331362067,312.80390406600526,False,-312.80390406600526,10113.992898134169,-6.593406593406604
E0,2024-04-02,Newcastle,Everton,1-1,Over 2.5,0.5393658248573237,0.6405862077916644,1.67,1.72,6.977896701207964,210.66984382068986,False,-210.66984382068986,9903.32305431348,-2.9069767441860517
E0,2024-04-02,Nott'm Forest,Fulham,3-1,Over 2.5,0.5090927447038999,0.6222006096790094,1.8,1.86,11.996109742221694,297.00337543054644,True,237.6027003444372,10140.925754657917,-3.2258064516129115
E0,2024-04-02,Burnley,Wolves,1-1,Over 2.5,0.43233253298636554,0.5739544992314674,1.84,1.91,5.607627858589992,135.39651850883936,False,-135.39651850883936,10005.529236149077,-3.6649214659685736
E0,2024-04-03,Brentford,Brighton,0-0,Over 2.5,0.5895608995306053,0.6705991134536493,1.57,1.61,5.284060812222946,185.50815769223271,False,-185.50815769223271,9820.021078456844,-2.4844720496894457
E0,2024-04-06,Brighton,Arsenal,0-3,Over 2.5,0.5935400700287821,0.6509459082089831,1.62,1.66,5.453237129855282,172.74485019678147,True,107.10180712200454,9927.122885578849,-2.409638554216853
E0,2024-04-13,Brentford,Sheffield United,2-0,Over 2.5,0.7000138785761811,0.7446919050860161,1.53,1.51,13.937861478160475,297.81368656736544,False,-297.81368656736544,9629.309199011483,1.324503311258285
E0,2024-04-14,West Ham,Fulham,0-2,Over 2.5,0.574514415571494,0.6494436333824468,1.67,1.69,8.457086774868605,243.0922491883007,False,-243.0922491883007,9386.216949823181,-1.183431952662728
E0,2024-04-15,Chelsea,Everton,6-0,Under 2.5,0.5338371036177487,0.43660081980811294,2.5,2.32,9.15020495202823,114.51441175344465,False,-114.51441175344465,9271.702538069736,7.758620689655182
E0,2024-04-20,Luton,Brentford,1-5,Over 2.5,0.6457139525452983,0.7035802321339804,1.57,1.74,10.46209644503493,278.15107614209205,True,158.5461134009925,9430.248651470729,-9.770114942528728
E0,2024-04-23,Arsenal,Chelsea,5-0,Over 2.5,0.6421946471388379,0.7006244806954698,1.53,1.6,7.19554554640689,256.0595610777346,True,135.71156737119935,9565.960218841929,-4.375000000000007
E0,2024-04-24,Everton,Liverpool,2-0,Under 2.5,0.4994989537398824,0.422232317688622,2.5,2.67,5.558079422155515,70.89115552733799,True,106.336733291007,9672.296952132936,-6.367041198501866
E0,2024-04-27,West Ham,Liverpool,2-2,Under 2.5,0.3769475649274884,0.32871277058312565,3.2,3.13,5.188086586600216,45.61883098088639,False,-45.61883098088639,9626.67812115205,2.2364217252396346
E0,2024-04-27,Newcastle,Sheffield United,5-1,Over 2.5,0.8174805961310722,0.8426597656491887,1.33,1.32,12.07374883134209,288.8003436345615,True,95.30411339940531,9721.982234551455,0.7575757575757569
E0,2024-04-28,Tottenham,Arsenal,2-3,Over 2.5,0.6588836307178428,0.7036416302411631,1.5,1.53,5.546244536174472,215.68196339666494,True,107.84098169833246,9829.823216249788,-1.9607843137254943
E0,2024-05-11,Wolves,Crystal Palace,1-3,Under 2.5,0.5905745760585571,0.5350010912441037,2.0,2.07,7.000218248820733,137.62181572214698,False,-137.62181572214698,9692.201400527641,-3.3816425120772875
E0,2024-05-11,West Ham,Luton,3-1,Over 2.5,0.7100451742087333,0.7567374092262985,1.44,1.41,8.970186928586976,290.7660420158292,True,127.93705848696482,9820.138459014606,2.127659574468077
E0,2024-05-11,Bournemouth,Brentford,1-2,Under 2.5,0.4649158090181643,0.4080667768850561,2.75,2.72,12.21836364339044,137.12688310935334,False,-137.12688310935334,9683.011575905253,1.1029411764705843
E0,2024-05-14,Tottenham,Man City,0-2,Under 2.5,0.31253140440954585,0.263770332328806,4.0,0.0,5.5081329315223915,35.5568766250375,True,106.67062987511251,9789.682205780366,0.0
E0,2024-05-15,Man United,Newcastle,3-2,Under 2.5,0.39114778108096127,0.3369234118444291,3.4,3.13,14.553960027105894,118.73220291749769,False,-118.73220291749769,9670.950002862868,8.626198083067083
E0,2024-05-19,Chelsea,Bournemouth,2-1,Under 2.5,0.3592765724080925,0.2916393707107634,3.75,3.48,9.364764016536276,65.86630152184115,False,-65.86630152184115,9605.083701341027,7.758620689655182
E0,2024-05-19,Burnley,Nott'm Forest,1-2,Under 2.5,0.5048184222469854,0.437068775278853,2.5,2.59,9.26719381971326,118.68289641986138,False,-118.68289641986138,9486.400804921166,-3.474903474903468
E0,2024-08-17,Everton,Brighton,0-3,Under 2.5,0.5960294015833821,0.5667331868979549,2.0,1.97,13.346637379590987,253.2231031614857,False,-253.2231031614857,9233.17770175968,1.522842639593902
E0,2024-08-17,Newcastle,Southampton,1-0,Over 2.5,0.6863241279209722,0.7801327090026499,1.4,1.46,9.218579260370973,276.9953310527904,False,-276.9953310527904,8956.182370706889,-4.109589041095896
E0,2024-08-17,Nott'm Forest,Bournemouth,1-1,Over 2.5,0.5396090944339857,0.6103660433993672,1.73,1.89,5.59332550809053,137.2461460525629,False,-137.2461460525629,8818.936224654326,-8.465608465608465
E0,2024-08-17,West Ham,Aston Villa,1-2,Over 2.5,0.6337937152295812,0.7229908480161452,1.57,1.72,13.509563138534798,264.5680867396298,True,150.803809441589,8969.740034095916,-8.720930232558132
E0,2024-08-18,Chelsea,Man City,0-2,Over 2.5,0.6158870508149655,0.7025100927271236,1.5,1.58,5.376513909068548,192.90372821618251,False,-192.90372821618251,8776.836305879733,-5.063291139240511
E0,2024-08-24,Crystal Palace,West Ham,0-2,Over 2.5,0.5622716336147009,0.611194484856652,1.73,1.67,5.736645880200797,137.94411461731963,False,-137.94411461731963,8638.892191262414,3.592814371257491
E0,2024-08-24,Fulham,Leicester,2-1,Over 2.5,0.5599690274714126,0.6079388024646326,1.89,1.87,14.900433665815548,259.1667657378724,True,230.65842150670642,8869.55061276912,1.0695187165775222
E0,2024-08-24,Tottenham,Everton,4-0,Under 2.5,0.4545472599922249,0.4127173130686811,2.63,2.95,8.544653337063114,92.9904726891386,False,-92.9904726891386,8776.560140079982,-10.84745762711865
